rank,mean_cv_r2,std_cv_r2,params
1,0.5780620816978286,0.08758773798315712,"{'poly__degree': 1, 'reg': LinearRegression()}"
2,0.6116980447623617,0.22769008240326552,"{'poly__degree': 2, 'reg': LinearRegression()}"
3,0.972197119201585,0.012897217335098169,"{'poly__degree': 3, 'reg': LinearRegression()}"
4,0.8894292059809719,0.05709926090380298,"{'poly__degree': 4, 'reg': LinearRegression()}"
5,-199.26230257341984,175.26980585366934,"{'poly__degree': 5, 'reg': LinearRegression()}"
6,0.5780707885681778,0.08757816806952762,"{'poly__degree': 1, 'reg': Ridge(), 'reg__alpha': 0.01}"
7,0.5781489978671235,0.0874923012057312,"{'poly__degree': 1, 'reg': Ridge(), 'reg__alpha': 0.1}"
8,0.5789161011195008,0.08665944692132561,"{'poly__degree': 1, 'reg': Ridge(), 'reg__alpha': 1.0}"
9,0.5851928412233087,0.08073805213468685,"{'poly__degree': 1, 'reg': Ridge(), 'reg__alpha': 10.0}"
10,0.5726457449490157,0.10366212621294993,"{'poly__degree': 1, 'reg': Ridge(), 'reg__alpha': 100.0}"
11,0.6117519844692284,0.22764746672039482,"{'poly__degree': 2, 'reg': Ridge(), 'reg__alpha': 0.01}"
12,0.6122333726776772,0.2272643516255436,"{'poly__degree': 2, 'reg': Ridge(), 'reg__alpha': 0.1}"
13,0.6166896179986466,0.22348845765395683,"{'poly__degree': 2, 'reg': Ridge(), 'reg__alpha': 1.0}"
14,0.6439129502335235,0.19325660934376535,"{'poly__degree': 2, 'reg': Ridge(), 'reg__alpha': 10.0}"
15,0.690709088463449,0.10509745207555014,"{'poly__degree': 2, 'reg': Ridge(), 'reg__alpha': 100.0}"
16,0.9722733659712128,0.012874045035186861,"{'poly__degree': 3, 'reg': Ridge(), 'reg__alpha': 0.01}"
17,0.9728625015710847,0.012680604128709949,"{'poly__degree': 3, 'reg': Ridge(), 'reg__alpha': 0.1}"
18,0.9746711218576479,0.01130813932842042,"{'poly__degree': 3, 'reg': Ridge(), 'reg__alpha': 1.0}"
19,0.9582004516482818,0.010396062720992312,"{'poly__degree': 3, 'reg': Ridge(), 'reg__alpha': 10.0}"
20,0.8553142641175642,0.0700667664087064,"{'poly__degree': 3, 'reg': Ridge(), 'reg__alpha': 100.0}"
21,0.9065625594937406,0.04541375291981991,"{'poly__degree': 4, 'reg': Ridge(), 'reg__alpha': 0.01}"
22,0.9300299837788515,0.03840813562341404,"{'poly__degree': 4, 'reg': Ridge(), 'reg__alpha': 0.1}"
23,0.9366618376976653,0.04932381940897273,"{'poly__degree': 4, 'reg': Ridge(), 'reg__alpha': 1.0}"
24,0.9277888714479492,0.07404324797780863,"{'poly__degree': 4, 'reg': Ridge(), 'reg__alpha': 10.0}"
25,0.8875581176555416,0.10502726660729308,"{'poly__degree': 4, 'reg': Ridge(), 'reg__alpha': 100.0}"
26,0.23156756004674758,0.4561534487787945,"{'poly__degree': 5, 'reg': Ridge(), 'reg__alpha': 0.01}"
27,0.7879007261241812,0.11945599192136715,"{'poly__degree': 5, 'reg': Ridge(), 'reg__alpha': 0.1}"
28,0.9271587019528609,0.0562684093710869,"{'poly__degree': 5, 'reg': Ridge(), 'reg__alpha': 1.0}"
29,0.9271317834965226,0.07017505983381972,"{'poly__degree': 5, 'reg': Ridge(), 'reg__alpha': 10.0}"
30,0.9004270432642301,0.09682605585183014,"{'poly__degree': 5, 'reg': Ridge(), 'reg__alpha': 100.0}"
31,0.5780758624420876,0.08757069025858685,"{'poly__degree': 1, 'reg': Lasso(max_iter=10000), 'reg__alpha': 0.001}"
